model,HF Open Deep Research,HAL Generalist Agent,HAL Generalist Agent  Pareto optimal,spread,n
claude-sonnet-4.5,0.3091,0.7091,0.7454999999999999,0.43639999999999995,3
claude-opus-4.1,0.2848,0.6848000000000001,,0.4000000000000001,2
claude-opus-4,0.5758,0.6485,,0.07269999999999999,2
claude-3.7-sonnet,0.3697,0.6424,,0.2727,2
gpt-5,0.628,0.5939,,0.03410000000000002,2
o4-mini,0.5576,,0.5818,0.0242,2
gpt-4.1,0.503,0.49700000000000005,,0.00599999999999995,2
gemini-2.0-flash,0.19390000000000002,,0.3273,0.13339999999999996,2
o3,0.3273,0.2848,,0.04249999999999998,2
deepseek-r1,0.24850000000000003,0.303,,0.054499999999999965,2
deepseek-v3,0.2848,0.2939,,0.009099999999999997,2
